Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-10-07,65290.78515625,65746.72639337466,65017.220413975214,65290.78515625,13683532
2021-10-08,65199.609375,66020.30375874125,65199.609375,65929.11549388111,14043287
2021-10-12,62919.90234375,64652.479364809784,62646.33755095109,64470.102836277176,31001484
2021-10-13,62737.51953125,63467.025572311046,62281.57825558684,62646.331276117366,24172015
2021-10-14,63284.65625,63649.40931195965,62737.526657060516,62919.90318804035,19520641
2021-10-15,63922.953125,64743.64724500713,63831.76488944365,64014.14136055635,18051612
2021-10-18,64014.15234375,64105.34059495192,63102.269831730766,64014.15234375,13486391
2021-10-19,64378.88671875,64743.639618006375,64196.51026912181,64561.26316837819,9507991
2021-10-20,64105.34375,64743.6615398293,64014.15549431009,64470.0967727596,10151638
2021-10-21,64014.15234375,64378.905348557695,63831.775841346156,64105.34059495192,10891094
2021-10-22,64196.5234375,64470.088168057526,63831.770463423294,63831.770463423294,8395448
2021-10-25,64014.15234375,64378.905348557695,63375.83458533654,63740.58759014423,10029621
2021-10-26,64834.8515625,65199.60459520042,64196.533755274264,64378.910271624474,10528252
2021-10-27,63922.953125,64743.64724500713,63831.76488944365,64743.64724500713,10295316
2021-10-28,64470.1015625,65837.9254994696,63375.84241292433,63375.84241292433,20644902
2021-10-29,63649.390625,65290.77892191977,63558.20238628224,64926.025967048714,17016151
2021-11-01,63740.5859375,64378.90367936337,63740.5859375,64014.15068401287,11503729
2021-11-02,65199.609375,65837.92722902098,64470.10325611888,64561.291520979015,16812570
2021-11-03,64196.5234375,65381.97060324929,63922.958706942474,65381.97060324929,12770428
2021-11-04,64378.88671875,65290.76896689094,64287.69849393591,64926.01606763456,11818987
2021-11-05,64014.15234375,65290.78786057692,64014.15234375,65290.78786057692,12667743
2021-11-08,64378.88671875,64378.88671875,63649.38092023726,64196.51026912181,11121981
2021-11-09,64287.71484375,64743.656083776594,63922.96185172872,64105.338347739365,11159589
2021-11-10,64014.15234375,64652.47010216346,64014.15234375,64105.34059495192,9422009
2021-11-11,63740.5859375,63831.77418633762,63467.02119098712,63740.5859375,11489122
2021-11-12,64378.88671875,64652.451393192285,63740.56914505135,64014.133819493625,10087450
2021-11-15,65108.421875,65564.36320465687,64652.48054534313,65381.98667279412,12420710
2021-11-16,65017.23046875,65655.54829943899,65017.23046875,65199.606991803994,10919239
2021-11-17,64470.1015625,65290.795924681755,64378.91330003536,65017.23113728784,11027606
2021-11-18,64014.15234375,64743.65835336538,64014.15234375,64470.09359975962,10144957
2021-11-19,64926.02734375,65108.40382505267,63922.95669658532,64196.52141853933,11954728
2021-11-22,68300.0,68573.56475300402,66567.42323097464,66840.98798397864,27506623
2021-11-23,68664.75,69303.06772908366,67935.24402390438,69303.06772908366,22029195
